Name,playerid,HoF
Mike Schmidt,1011586,1
George Brett,1001400,
Joe Morgan,1009179,
Gary Carter,1002015,
Buddy Bell,1000799,
Bobby Grich,1005033,
Ron Cey,1002108,
Rod Carew,1001942,
Keith Hernandez,1005706,
George Foster,1004250,
Robin Yount,1014396,
Dave Winfield,1014127,
Dwight Evans,1003865,
Jose Cruz,1002841,
Jim Rice,1010897,
Fred Lynn,1007872,
Graig Nettles,1009517,
Andre Dawson,1003091,
Eddie Murray,1009386,
Toby Harrah,1005384,
Ted Simmons,1011986,
Carlton Fisk,1004101,
Johnny Bench,1000826,
Chet Lemon,1007518,
Gene Tenace,1012911,
Willie Randolph,1010694,
Reggie Jackson,1006308,
Doug DeCinces,1003123,
Darrell Evans,1003864,
Dave Concepcion,1002494,
Darrell Porter,1010450,
Jim Sundberg,1012724,
Ken Singleton,1012011,
Davey Lopes,1007750,
Dave Parker,1010000,
Cecil Cooper,1002592,
Steve Garvey,1004557,
Al Oliver,1009773,
Reggie Smith,1012201,
Rickey Henderson,194,
Cesar Cedeno,1002100,
Bill Madlock,1007957,
Mike Hargrove,1005361,
Pete Rose,1011217,
George Hendrick,1005642,
Garry Maddox,1007948,
Dusty Baker,1000450,
Willie Wilson,1014113,
Hal McRae,1008687,
Brian Downing,1003451,
Jack Clark,1002288,
Alan Trammell,1013157,
Phil Garner,1004541,
Gary Matthews,1008255,
Jason Thompson,1013014,
Greg Luzinski,1007855,
Lou Whitaker,1013846,
Ken Griffey,1005044,
Sixto Lezcano,1007593,
Amos Otis,1009893,
Dale Murphy,1009355,
Roy Smalley,1012078,
Ben Oglivie,1009746,
Andre Thornton,1013037,
Lance Parrish,1010021,
Richie Zisk,1014455,
Bobby Bonds,1001157,
Butch Wynegar,1014308,
Don Money,1009052,
Carl Yastrzemski,1014326,
Cal Ripken,1010978,
Dwayne Murphy,1009359,
Mickey Rivers,1011005,
Thurman Munson,1009334,
Rick Burleson,1001696,
Oscar Gamble,1004473,
Chris Chambliss,1002119,
Sal Bando,1000505,
Bob Watson,1013677,
Paul Molitor,1009040,
Terry Puhl,1010562,
Don Baylor,1000700,
Bake McBride,1008340,
Frank White,1013872,
Gorman Thomas,1012979,
Dan Driessen,1003501,
Jerry Mumphrey,1009314,
Bill Russell,1011311,
Garry Templeton,1012909,
Willie Stargell,1012426,
Ozzie Smith,1012186,
Mark Belanger,1000786,
Tim Raines,1406,
Rick Dempsey,1003203,
Steve Kemp,1006827,
Larry Hisle,1005858,
John Stearns,1012446,
Al Bumbry,1001649,
Tony Perez,1010188,
Pedro Guerrero,1005120,
Bob Boone,1001183,
Eric Soderholm,1012260,
Chris Speier,1012316,
Joe Ferguson,1003990,
Richie Hebner,1005571,
Wade Boggs,1001124,
Gene Richards,1010907,
Carney Lansford,1007331,
Billy North,1009638,
Ellis Valentine,1013326,
Warren Cromartie,1002786,
John Mayberry,1008289,
Bill Buckner,1001625,
Gary Roenicke,1011120,
Steve Yeager,1014332,
Bob Horner,1006026,
Ruppert Jones,1006588,
Bucky Dent,1003212,
Cliff Johnson,1006437,
Tony Armas,1000305,
Lee Lacy,1007243,
Larry Bowa,1001243,
Ken Oberkfell,1009677,
Bruce Bochte,1001106,
Dave Cash,1002041,
Dave Kingman,1006939,
George Scott,1011682,
Jeff Burroughs,1001731,
Larry Parrish,1010020,
Lonnie Smith,1012176,
Bump Wills,1014049,
Julio Cruz,1002842,
Tony Pena,1010153,
Jimmy Wynn,1014313,
Cesar Geronimo,1004639,
Gary Ward,1013611,
Rusty Staub,1012440,
Roy White,1013890,
Bert Campaneris,1001868,
Milt May,1008304,
Art Howe,1006092,
Joe Rudi,1011283,
Greg Gross,1005086,
Larry Herndon,1005717,
Lloyd Moseby,1009238,
Rich Dauer,1003006,
Rick Monday,1009051,
Johnny Ray,1010727,
John Castino,1002062,
Ryne Sandberg,1011411,
Jorge Orta,1009853,
Terry Kennedy,1006850,
Ron LeFlore,1007478,
Wayne Gross,1005091,
Jay Johnstone,1006463,
Al Cowens,1002689,
Lee Mazzilli,1008318,
Ray Knight,1007043,
Dave Collins,1002449,
Leon Durham,1003592,
Lyman Bostock,1001220,
Dickie Thon,1013033,
Claudell Washington,1013654,
Kent Hrbek,1006117,
Tim Wallach,1013554,
Mike Easler,1003635,
Leon Roberts,1011040,
Johnny Grubb,1005103,
Rennie Stennett,1012484,
Jim Gantner,1004483,
Tom Brunansky,1001589,
Jerry Remy,1010828,
Dan Ford,1004216,
Harold Baines,1000434,
Doug Rader,1010638,
Willie Aikens,1000090,
Tom Herr,1005737,
Jeffrey Leonard,1007535,
Rico Carty,1002025,
Steve Henderson,1005636,
Elliott Maddox,1007947,
Rick Miller,1008928,
Kirk Gibson,1004669,
Steve Braun,1001366,
Ivan DeJesus,1003150,
John Milner,1008965,
Jim Essian,1003835,
Juan Beniquez,1000833,
Bill Robinson,1011054,
